MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:100,random_state:1,min_samples_split:2,max_depth:10,500,0.970209094621,0.982191314098,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:10,500,0.970850623249,0.982530584667,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:30,500,0.988996064241,0.993215738704,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:50,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:70,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:90,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,random_state:1,min_samples_split:2,max_depth:100,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:10,500,0.970850623249,0.982530584667,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:30,500,0.988996064241,0.993215738704,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:50,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:70,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:90,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:100,500,0.989555767622,0.993554865514,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:100,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:10,500,0.970209094621,0.982191314098,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.989286244756,0.993385373988,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.988682001479,0.993045959661,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.988995091184,0.993215882463,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.988995956921,0.993216026222,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.989234348439,0.99338523023,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.986136546876,0.991519817139,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.986136546876,0.991519817139,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.986136546876,0.991519817139,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.986136546876,0.991519817139,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.986136546876,0.991519817139,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.984996883469,0.990841276002,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.984996883469,0.990841276002,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.984996883469,0.990841276002,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.984996883469,0.990841276002,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.984996883469,0.990841276002,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.981045270332,0.988466957059,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.981045270332,0.988466957059,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.981045270332,0.988466957059,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.981045270332,0.988466957059,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.981045270332,0.988466957059,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.978965473051,0.98727951007,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.978965473051,0.98727951007,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.978965473051,0.98727951007,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.978965473051,0.98727951007,
MaterialType-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.978965473051,0.98727951007,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.72764313878,0.801423495072,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.729702861782,0.801434070815,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.72809965659,0.800774144422,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.725074012459,0.798819747028,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.717531286587,0.795568763484,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.714222407084,0.795566648335,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.714222407084,0.795566648335,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.714222407084,0.795566648335,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.714222407084,0.795566648335,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.714222407084,0.795566648335,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.684963509411,0.780597741021,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.684963509411,0.780597741021,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.684963509411,0.780597741021,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.684963509411,0.780597741021,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:5,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.684963509411,0.780597741021,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.678096381034,0.778000338424,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.678096381034,0.778000338424,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.678096381034,0.778000338424,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.678096381034,0.778000338424,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.678096381034,0.778000338424,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.664158539917,0.77084267524,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.664158539917,0.77084267524,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.664158539917,0.77084267524,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.664158539917,0.77084267524,
Sex-2,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.664158539917,0.77084267524,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.914661288112,0.944171474846,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.909521946676,0.941020346189,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.913416340837,0.94372406114,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.908299948869,0.939670007086,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.906756340134,0.939219556635,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:3,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.905034966494,0.939220568883,
